RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,division,start_date,end_date,host,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1
1,1148,Δ,10,1016,Win,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1148,Δ,4,1016,Win,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
1,1148,Δ,1,1016,Win,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1471,Π,-6,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1471,Π,-5,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
2,1471,Π,-9,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1257,Δ,-1,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1257,Δ,4,1016,Win,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
3,1257,Δ,-10,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
4,1365,Π,-3,1016,Loss,4,0,8,4.0,16.0,64.0,-37,24,George Washington University,George Washington University,False,False,False,False,,,,,,,,,,,,,,,,,,30th National Championship Tournament,The Professor William R. Eleazer Division,"April 11, 2014","April 13, 2014",the University of Central Florida and Stetson University College of Law,nationals,2014,"Mr. Justin Bernstein, Esq.","Mr. David Nelmark, Esq.",Opening coin flip: Tails. Lesser team number gets higher rank.,Round 3 coin flip: Tails. Even numbers are prosecution.
