RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,division,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1
1,1157,Π,8,1030,Win,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1157,Π,-15,1030,Loss,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1157,Π,1,1030,Win,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1053,Δ,-3,1030,Loss,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1053,Δ,9,1030,Win,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1053,Δ,4,1030,Win,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
3,1038,Δ,-11,1030,Loss,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
3,1038,Δ,0,1030,Tie,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
3,1038,Δ,-13,1030,Loss,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
4,1243,Π,-13,1030,Loss,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
4,1243,Π,2,1030,Win,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
4,1243,Π,-4,1030,Loss,5,1,6,5.5,22.0,88.0,-35,4,Northwestern University,Northwestern University,False,False,False,False,,,,,,,,,,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1464,Δ,-4,1038,Loss,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1464,Δ,4,1038,Win,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1464,Δ,6,1038,Win,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1456,Π,7,1038,Win,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1456,Π,-9,1038,Loss,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1456,Π,0,1038,Tie,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
3,1030,Π,11,1038,Win,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
3,1030,Π,0,1038,Tie,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
3,1030,Π,13,1038,Win,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
4,1205,Δ,-4,1038,Loss,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
4,1205,Δ,5,1038,Win,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
4,1205,Δ,11,1038,Win,7,2,3,8.0,32.0,128.0,40,11,University of Virginia,University of Virginia,False,False,False,False,,Kevin Smaller,Witness,25,Π,Kevin Wong  ,Witness,24,Δ,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1502,Π,3,1040,Win,7,0,5,7.0,26.5,101.5,10,16,"University of California, Los Angeles","University of California, Los Angeles",False,False,False,False,,Cecilia Panella,Witness,25,Δ,Dawson Robinson,Attorney,30,Π,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1502,Π,2,1040,Win,7,0,5,7.0,26.5,101.5,10,16,"University of California, Los Angeles","University of California, Los Angeles",False,False,False,False,,Cecilia Panella,Witness,25,Δ,Dawson Robinson,Attorney,30,Π,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
1,1502,Π,8,1040,Win,7,0,5,7.0,26.5,101.5,10,16,"University of California, Los Angeles","University of California, Los Angeles",False,False,False,False,,Cecilia Panella,Witness,25,Δ,Dawson Robinson,Attorney,30,Π,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1194,Δ,-2,1040,Loss,7,0,5,7.0,26.5,101.5,10,16,"University of California, Los Angeles","University of California, Los Angeles",False,False,False,False,,Cecilia Panella,Witness,25,Δ,Dawson Robinson,Attorney,30,Π,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1194,Δ,-1,1040,Loss,7,0,5,7.0,26.5,101.5,10,16,"University of California, Los Angeles","University of California, Los Angeles",False,False,False,False,,Cecilia Panella,Witness,25,Δ,Dawson Robinson,Attorney,30,Π,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
2,1194,Δ,-11,1040,Loss,7,0,5,7.0,26.5,101.5,10,16,"University of California, Los Angeles","University of California, Los Angeles",False,False,False,False,,Cecilia Panella,Witness,25,Δ,Dawson Robinson,Attorney,30,Π,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
3,1063,Δ,15,1040,Win,7,0,5,7.0,26.5,101.5,10,16,"University of California, Los Angeles","University of California, Los Angeles",False,False,False,False,,Cecilia Panella,Witness,25,Δ,Dawson Robinson,Attorney,30,Π,,,,,,,,,Page 1 of 4,The Katherine E. Pridemore Division,the University of Cincinnati,"Cincinnati, Ohio","April 17, 2015","April 19, 2015",nationals,2015,Jacelyn	Olson,William	Warihay
