RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,Student4,Role4,Ranks4,Side4,name,host,location,start_date,end_date,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0
1,1149,Δ,-1,1069,Loss,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
1,1149,Δ,-2,1069,Loss,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
2,1533,Π,7,1069,Win,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
2,1533,Π,-4,1069,Loss,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
3,1649,Π,32,1069,Win,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
3,1649,Π,4,1069,Win,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
4,1457,Δ,9,1069,Win,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
4,1457,Δ,16,1069,Win,5,0,3,5.0,20.0,80.0,61,12,Fresno State University A,Fresno State University A,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
1,1069,Π,1,1149,Win,4,1,3,4.5,18.0,72.0,-6,8,University of Arizona B,University of Arizona B,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
1,1069,Π,2,1149,Win,4,1,3,4.5,18.0,72.0,-6,8,University of Arizona B,University of Arizona B,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and U.S. Air Force,the El Paso County Courthouse,"February 25, 2017","February 26, 2017",regionals,2017,,,,Frank	Guliuzza,Alex	Bluebond,8th	place	after	round	3:	4	Wins
