RoundNum,TeamNum,OppNum,Side,PD,BallotResult,TotalWins,TotalTies,TotalLosses,TotalBallots,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,name,host,location,start_date,end_date,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0
1,1030,1367,Π,12,Win,4,0,4,4.0,Chemeketa Community College A,University of Washington B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
1,1030,1367,Π,23,Win,4,0,4,4.0,Chemeketa Community College A,University of Washington B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
2,1030,1653,Δ,-9,Loss,4,0,4,4.0,Chemeketa Community College A,University of Portland B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
2,1030,1653,Δ,1,Win,4,0,4,4.0,Chemeketa Community College A,University of Portland B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
3,1030,1366,Π,-3,Loss,4,0,4,4.0,Chemeketa Community College A,University of Washington A,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
3,1030,1366,Π,-4,Loss,4,0,4,4.0,Chemeketa Community College A,University of Washington A,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
4,1030,1078,Δ,-1,Loss,4,0,4,4.0,Chemeketa Community College A,Gonzaga University C,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
4,1030,1078,Δ,4,Win,4,0,4,4.0,Chemeketa Community College A,Gonzaga University C,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
1,1057,1670,Δ,-10,Loss,3,0,5,3.0,Reed College A,University of Oregon C,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
1,1057,1670,Δ,-3,Loss,3,0,5,3.0,Reed College A,University of Oregon C,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
2,1057,1510,Π,4,Win,3,0,5,3.0,Reed College A,Washington State University A,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
2,1057,1510,Π,12,Win,3,0,5,3.0,Reed College A,Washington State University A,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
3,1057,1367,Π,12,Win,3,0,5,3.0,Reed College A,University of Washington B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
3,1057,1367,Π,-1,Loss,3,0,5,3.0,Reed College A,University of Washington B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
4,1057,1208,Δ,-13,Loss,3,0,5,3.0,Reed College A,Bye Bust Team,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
4,1057,1208,Δ,-16,Loss,3,0,5,3.0,Reed College A,Bye Bust Team,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
1,1076,1545,Δ,1,Win,3,0,5,3.0,Gonzaga University A,Oregon State University B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
1,1076,1545,Δ,13,Win,3,0,5,3.0,Gonzaga University A,Oregon State University B,False,False,False,False,,,,,,,,,,"Seattle, Washington Regional Tournament","University	of	Washington	in	Seattle,	Washington",,"February 11, 2017","February 12, 2017","March 25, 2017","March 26, 2017","Fresno, California",Justin	Bernstein,Marissa	Oxman,8th	place	after	round	3:	3.5	Wins
