RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1389,Π,4,1013,Win,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
1,1389,Π,-2,1013,Loss,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
2,1487,Δ,-7,1013,Loss,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
2,1487,Δ,-9,1013,Loss,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
3,1273,Π,4,1013,Win,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
3,1273,Π,4,1013,Win,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
4,1490,Δ,-3,1013,Loss,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
4,1490,Δ,-23,1013,Loss,3,0,5,3.0,12.0,48.0,-32,19,Drexel University A,Drexel University A,False,False,False,False,,Alyssa Kurke,Witness,16,∆,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
1,1102,Π,-25,1014,Loss,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
1,1102,Π,-14,1014,Loss,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
2,1648,Δ,-2,1014,Loss,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
2,1648,Δ,-7,1014,Loss,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
3,1136,Π,7,1014,Win,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
3,1136,Π,-9,1014,Loss,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
4,1273,Δ,-10,1014,Loss,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
4,1273,Δ,-2,1014,Loss,1,0,7,1.0,6.0,30.0,-62,10,Drexel University B,Drexel University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
1,1014,Δ,25,1102,Win,5,0,3,5.0,18.0,66.0,60,22,"Fordham University, Lincoln Center A","Fordham University, Lincoln Center A",False,False,False,False,,Alexia Seepersaud,Witness,17,∆,Fiona Danyko,Attorney,18,∆,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
1,1014,Δ,14,1102,Win,5,0,3,5.0,18.0,66.0,60,22,"Fordham University, Lincoln Center A","Fordham University, Lincoln Center A",False,False,False,False,,Alexia Seepersaud,Witness,17,∆,Fiona Danyko,Attorney,18,∆,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
2,1491,Π,12,1102,Win,5,0,3,5.0,18.0,66.0,60,22,"Fordham University, Lincoln Center A","Fordham University, Lincoln Center A",False,False,False,False,,Alexia Seepersaud,Witness,17,∆,Fiona Danyko,Attorney,18,∆,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
2,1491,Π,7,1102,Win,5,0,3,5.0,18.0,66.0,60,22,"Fordham University, Lincoln Center A","Fordham University, Lincoln Center A",False,False,False,False,,Alexia Seepersaud,Witness,17,∆,Fiona Danyko,Attorney,18,∆,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
3,1490,Π,-1,1102,Loss,5,0,3,5.0,18.0,66.0,60,22,"Fordham University, Lincoln Center A","Fordham University, Lincoln Center A",False,False,False,False,,Alexia Seepersaud,Witness,17,∆,Fiona Danyko,Attorney,18,∆,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
3,1490,Π,-2,1102,Loss,5,0,3,5.0,18.0,66.0,60,22,"Fordham University, Lincoln Center A","Fordham University, Lincoln Center A",False,False,False,False,,Alexia Seepersaud,Witness,17,∆,Fiona Danyko,Attorney,18,∆,,,,,,,,,"Washington, D.C. Regional Tournament",American University,American University,regionals,2018,Alyssa Pronley,Michael Walsh,8th place after round 3: 4 Wins,Opening coin flip: Tails ‐ Lower # = Better Rank,Round 3 coin flip: Tails ‐ Left Side is Defense
