RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1262,Π,-10,1068,Loss,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1262,Π,-23,1068,Loss,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1209,Δ,6,1068,Win,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1209,Δ,9,1068,Win,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1098,Δ,-2,1068,Loss,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1098,Δ,-18,1068,Loss,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1490,Π,-10,1068,Loss,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1490,Π,-17,1068,Loss,2,0,6,2.0,8.0,32.0,-65,7,College of Saint Rose A,College of Saint Rose A,False,False,False,True,29,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1098,Δ,-5,1069,Loss,2,0,6,2.0,8.0,32.0,-29,6,College of Saint Rose B,College of Saint Rose B,False,False,False,False,,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1098,Δ,-3,1069,Loss,2,0,6,2.0,8.0,32.0,-29,6,College of Saint Rose B,College of Saint Rose B,False,False,False,False,,,,,,,,,,,,,,,,,,"New Rochelle, New York Regional Tournament",Iona College,"New Rochelle, New York",regionals,2019,Brandon Harper,Kelly Rodgers,9th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
