RoundNum,TeamNum,OppNum,Side,PD,BallotResult,TotalWins,TotalTies,TotalLosses,TotalBallots,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1026,1114,Π,3,Win,2,2,4,3.0,Quincy University A,Culver-Stockton College A,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1026,1114,Π,-14,Loss,2,2,4,3.0,Quincy University A,Culver-Stockton College A,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1026,1147,Δ,-14,Loss,2,2,4,3.0,Quincy University A,Northern Illinois University B,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1026,1147,Δ,-3,Loss,2,2,4,3.0,Quincy University A,Northern Illinois University B,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1026,1696,Π,1,Win,2,2,4,3.0,Quincy University A,Washington University in St. Louis C,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1026,1696,Π,-17,Loss,2,2,4,3.0,Quincy University A,Washington University in St. Louis C,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1026,1026,Π,0,Tie,2,2,4,3.0,Quincy University A,Quincy University A,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1026,1026,Π,0,Tie,2,2,4,3.0,Quincy University A,Quincy University A,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1027,1566,Π,-27,Loss,0,2,6,1.0,Quincy University B,University of Cincinnati A,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1027,1566,Π,-17,Loss,0,2,6,1.0,Quincy University B,University of Cincinnati A,False,False,False,False,,,,,,,,,,,,,,,,,,"St. Louis, Missouri Regional Tournament",St. Louis University in the St. Louis School of Law,,"February 09, 2019","February 10, 2019",Matthew Eslick,Frank Guliuzza,8th place after round 3: 3.5 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
