RoundNum,TeamNum,OppNum,Side,PD,BallotResult,TotalWins,TotalTies,TotalLosses,TotalBallots,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1049,1634,Δ,-2,Loss,4.0,0.0,4.0,4.0,University of Arizona C,University of Southern California B,False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
1,1049,1634,Δ,2,Win,4.0,0.0,4.0,4.0,University of Arizona C,University of Southern California B,False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
2,1049,1681,Π,3,Win,4.0,0.0,4.0,4.0,University of Arizona C,"University of California, San Diego C",False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
2,1049,1681,Π,-2,Loss,4.0,0.0,4.0,4.0,University of Arizona C,"University of California, San Diego C",False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
3,1049,1673,Π,6,Win,4.0,0.0,4.0,4.0,University of Arizona C,"University of Nevada, Reno A",False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
3,1049,1673,Π,-1,Loss,4.0,0.0,4.0,4.0,University of Arizona C,"University of Nevada, Reno A",False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
4,1049,1447,Δ,-5,Loss,4.0,0.0,4.0,4.0,University of Arizona C,Pomona College A,False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
4,1049,1447,Δ,5,Win,4.0,0.0,4.0,4.0,University of Arizona C,Pomona College A,False,False,False,False,,,,,,,,,,,,,,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
1,1050,1494,Π,-4,Loss,4.0,0.0,4.0,4.0,University of Arizona D,"University of California, Los Angeles C",False,False,False,False,,Jeffrey Tan,Witness,16,∆,"Hostal, Kathryn",Attorney,19,∏,Megan Pineda,Attorney,19,∆,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
1,1050,1494,Π,-8,Loss,4.0,0.0,4.0,4.0,University of Arizona D,"University of California, Los Angeles C",False,False,False,False,,Jeffrey Tan,Witness,16,∆,"Hostal, Kathryn",Attorney,19,∏,Megan Pineda,Attorney,19,∆,"Tempe, Arizona Regional Tournament","Arizona State University in Tempe, Arizona",,Graham Henry,Thom Scher,8th place after round 3: 4 Wins,Opening coin flip: Heads ‐ Higher # = Better Rank,Round 3 coin flip: Heads ‐ Right Side is Defense
