RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1
1,1403,Δ,2,1052,Win,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1403,Δ,-3,1052,Loss,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1194,Π,19,1052,Win,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1194,Π,-3,1052,Loss,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1245,Δ,6,1052,Win,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1245,Δ,2,1052,Win,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1105,Π,-4,1052,Loss,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1105,Π,10,1052,Win,5,0,3,5.0,20.0,80.0,29,28,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,Aastha Sintha ,Attorney,18,∏,,,,,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1474,Π,-21,1053,Loss,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1474,Π,12,1053,Win,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1241,Δ,10,1053,Win,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1241,Δ,11,1053,Win,7,0,1,7.0,28.0,112.0,47,25,University of Florida B,University of Florida B,False,False,False,True,29,Jack Fitzgerald ,Attorney,20,∏,Brianna Palmer ,Attorney,18,∏,,,,,,,,,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar,University of Florida,"Gainesville, Florida","January 18, 2020","January 19, 2020",invitationals,2020,Laura Sjoberg,Will Warihay,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
