,SysName,TournName
2,bluejay,1
8,yellowjacket,1
14,st_paul,1
17,ramblin_wreck,15th Annual Ramblin' Wreck Invitational Tournament
7,illinois_state,18th Annual Illinois State University Invitational Tournament
19,peach_bowl,2nd Annual Peach Bowl Invitational
10,swamp,2nd Annual Swamp Invitational Sponsored by Phelps Dunbar
15,kangaroo_brawl,3rd Annual Kanagroo Brawl
28,crimson_classic,4th Annual Crimson Classic Invitational
4,cactus_classic,Arizona Cactus Classic Invitational
33,arlington,"Arlington, Texas Regional Tournament"
12,bomber_blitz,Bomber Blitz
59,buffalo,"Buffalo, New York Regional Tournament"
48,chapel_hill,"Chapel Hill, North Carolina Regional Tournament"
60,chestnut_hill,"Chestnut Hill, Massachusetts Regional Tournament"
53,claremont,"Claremont, California Regional Tournament"
56,colorado_springs,"Colorado Springs, Colorado Regional Tournament"
42,columbus,"Columbus, Ohio Regional Tournament"
44,dayton,"Dayton, Ohio Regional Tournament"
54,des_moines,"Des Moines, Iowa Regional Tournament"
29,colonel_classic,EKU Colonel Classic Invitational
51,evanston,"Evanston, Illinois Regional Tournament"
23,aggie_invitational,First Annual Aggie Invitational
34,fresno,"Fresno, California Regional Tournament"
9,friar,Friar Faceoff
5,got,Grand Ole Tournament
24,hit,HIT IX
22,habeas_hippopotomous,Habeas Hippopotamus Invitational
38,houston,"Houston, Texas Regional Tournament"
58,indianapolis,"Indianapolis, Indiana Regional Tournament"
16,mock_100,Indy Mock Hundred
30,jackson,"Jackson, Mississippi Regional Tournament"
55,lawrence,"Lawrence, Kansas Regional Tournament"
65,cincinatti,"Lawrence, Kansas Regional Tournament"
61,lancaster,"Lawrence, Kansas Regional Tournament"
64,cedar_rapids,"Lawrence, Kansas Regional Tournament"
63,santa_monica,"Lawrence, Kansas Regional Tournament"
62,geneva,"Lawrence, Kansas Regional Tournament"
47,louisville,"Louisville, Kentucky Regional Tournament"
27,mid_south,Mid-South Invitational
1,mid_south_d2,Mid-South Invitational
18,mocktopia,Mocktopia IV
25,national_invitational,National Invitational at Loras College
35,new_haven,"New Haven, Connecticut Regional Tournament"
37,new_rochelle,"New Rochelle, New York Regional Tournament"
31,orlando,"Orlando, Florida Regional Tournament"
41,owings_mills,"Owings Mills, Maryland Regional Tournament"
52,providence,"Providence, Rhode Island Regional Tournament"
21,quaker,Quaker Classic
13,rachter,Racheter Invitational
46,richmond,"Richmond, Virginia Regional Tournament"
49,san_diego,"San Diego, California Regional Tournament"
11,scarlett_and_grey,Scarlet and Gray Invitational
0,scarlett_knight,Scarlett Knight Mock Trial Invitational
39,seattle,"Seattle, Washington Regional Tournament"
26,red_cedar,Seventh Annual Red Cedar Classic
6,bearcat,Seventh Annual Red Cedar Classic
43,st_paul,"St. Paul, Minnesota Regional Tournament"
36,state_college,"State College, Pennsylvania Regional Tournament"
3,swear_me_in_scotty,"Swear Me In, Scotty! Invitational Tournament"
40,tallahassee,"Tallahassee, Florida Regional Tournament"
50,tempe,"Tempe, Arizona Regional Tournament"
20,new_england,The Second Annual New England Classic
45,washington_dc,"Washington, D.C. Regional Tournament"
57,wheaton,"Wheaton, Illinois Regional Tournament"
32,williamsburg,"Williamsburg, Virginia Regional Tournament"
