Team #,Team Name
1001,University of Wisconsin-Superior
1002,University of Wisconsin-Superior
1003,Elon University
1004,Elon University
1005,Elon University
1006,Bowling Green State University
1007,Eastern Kentucky University
1008,Eastern Kentucky University
1009,Seton Hall University
1010,Seton Hall University
1011,University of Minnesota-Twin Cities
1012,University of Minnesota-Twin Cities
1013,University of Minnesota-Twin Cities
1014,University of Alabama-Tuscaloosa
1015,University of Alabama-Tuscaloosa
1016,George Washington University
1017,George Washington University
1018,George Washington University
1019,University of Portland
1020,Howard University
1021,Howard University
1022,Missouri Southern State University
1023,Missouri Southern State University
1024,University of Richmond
1025,University of Richmond
1026,Roger Williams University
1027,Wheaton College
1028,Hillsdale College
1029,Hillsdale College
1030,Hillsdale College
1031,University of Vermont
1032,University of Vermont
1033,Boston College
1034,Boston College
1035,Boston College
1036,Boston College
1037,Lafayette College
1038,Lafayette College
1039,University of Wisconsin-Platteville
1040,Columbia University
1041,Columbia University
1042,Macalester College
1043,Macalester College
1044,Macalester College
1045,Hamilton College
1046,Middle Tennessee State University
1047,Middle Tennessee State University
1048,Iona College
1049,"University of North Carolina, Chapel Hill"
1050,"University of North Carolina, Chapel Hill"
1051,"University of North Carolina, Chapel Hill"
1052,"University of North Carolina, Chapel Hill"
1053,"University of Texas, Dallas"
1054,"University of Texas, Dallas"
1055,"University of California, San Diego"
1056,"University of California, San Diego"
1057,"University of California, San Diego"
1058,Gonzaga University
1059,Gonzaga University
1060,Gonzaga University
1061,California University of Pennsylvania
1062,University of Virginia
1063,University of Virginia
1064,Stevenson University
1065,Columbia College
1066,Rhodes College
1067,Rhodes College
1068,Rhodes College
1069,Rhodes College
1070,Pomona College
1071,Pomona College
1072,Pomona College
1073,"University of California, Los Angeles"
1074,"University of California, Los Angeles"
1075,"University of California, Los Angeles"
1076,"University of California, Los Angeles"
1077,"University of California, Los Angeles"
1078,Radford University
1079,"University of Alabama, Birmingham"
1080,"University of Alabama, Birmingham"
1081,Siena College
1082,Morningside College
1083,Luther College
1084,Luther College
1085,St. Norbert College
1086,St. Norbert College
1087,University of Maryland
1088,University of Maryland
1089,University of Maryland
1090,University of Maryland
1091,Collin College
1092,Collin College
1093,Houston Baptist University
1094,Houston Baptist University
1095,University of Florida
1096,University of Florida
1097,University of Florida
1098,University of Florida
1099,University of Central Florida
1100,University of Central Florida
