Team #	SCHOOL	DATE REG./PAID	DROP DATE
1001	Miami University A	6/3/2019	
1002	Miami University B		
1003	Miami University C		
1004	Missouri Southern State University A	6/3/2019	
1005	Missouri Southern State University B		
1006	Rhodes College A	6/3/2019	
1007	Rhodes College B		
1008	Rhodes College C		
1009	Rhodes College D		
1010	Macalester College A	6/3/2019	
1011	Macalester College B		
1012	Macalester College C		
1013	Macalester College D		11/21/2019
1014	College of William & Mary A	6/3/2019	
1015	College of William & Mary B		
1016	College of William & Mary C		
1017	Texas A&M University A	6/4/2019	
1018	Texas A&M University B		
1019	Texas A&M University C		
1020	Western Colorado University A	6/4/2019	
1021	American University A	6/5/2019	
1022	American University B		
1023	American University C		
1024	Lafayette College A	6/5/2019	
1025	Lafayette College B		
1026	Stevenson University A	6/5/2019	
1027	Stevenson University B		
1028	Auburn University A	6/10/2019	
1029	Auburn University B		
1030	St. Norbert College A	6/11/0219	
1031	St. Norbert College B		2/7/2020
1032	Wheaton College A	6/11/2019	
1033	Wheaton College B		
1034	University of California, Davis A	6/11/2019	
1035	University of California, Davis B		
1036	University of California, Davis C		
1037	University of Texas, Dallas A	6/11/2019	
1038	University of Texas, Dallas B		
1039	University of Texas, Dallas C		
1040	Loyola University-Chicago A	6/13/2019	
1041	Loyola University-Chicago B		
1042	Loyola University-Chicago C		
1043	Bellarmine University A	6/17/2019	
1044	Bellarmine University B		
1045	Dillard University A	6/17/2019	
1046	Illinois State University A	6/17/2019	
1047	Palm Beach Atlantic University A	6/17/2019	
1048	Palm Beach Atlantic University B		12/9/2019
1049	University of Virginia A	6/17/2019	
1050	University of Virginia B		
1051	Samford University A	6/19/2019	
1052	University of Florida A	6/24/2019	
1053	University of Florida B		
1054	University of Florida C		
1055	University of Florida D		
1056	University of Florida E		
1057	Juniata College A	6/24/2019	
1058	Juniata College B		
1059	University of Central Missouri A	6/26/2019	
1060	University of Central Missouri B		
1061	University of Texas, Arlington A	06/27/2019	
1062	Millsaps College A	6/28/2019	
1063	Millsaps College B		
1064	Millsaps College C		11/27/2019
1065	Chemeketa Community College A	6/29/2019	
1066	Luther College A	7/2/2019	
1067	Luther College B		
