Team #,Wins,Losses,Ties,CS,OCS,PD
1030,5,6,1,25.5,95,-35
1038,7,3,2,26,98,+40
1040,7,5,0,25,95.5,+10
1053,4,7,1,24,97,-32
1061,5,7,0,23,92.5,+11
1063,5,7,0,23.5,92,-5
1094,4,7,1,22.5,82,-68
1103,2,0,0,26.5,113,+154
1132,6,6,0,25,98.5,+19
1157,6,6,0,27,93,-16
1190,8,4,0,27,101,+9
1194,6,5,1,28,99.5,+2
1200,7,5,0,25,97.5,+17
1205,4,8,0,17.5,93,-51
1209,7,5,0,20,97,+28
1243,6,6,0,27.5,98.5,-27
1347,6,6,0,21.5,90.5,-7
1355,6,6,0,30.5,95,-5
1366,5,6,1,24,97.5,-14
1456,8,4,0,20,95.5,+10
1464,6,6,0,22,82.5,-32
1502,3,8,1,24,92,-31
