Team #,Wins,Losses,Ties,CS,OCS,PD
1003,5,7,0,23.5,91,-9
1007,4,8,0,23,94,-21
1022,6,5,1,28.5,82.5,-61
1029,3,9,0,24.5,102,+6
1035,5,7,0,22,87,-41
1041,7,5,0,28,96.5,-16
1060,6,6,0,26.5,99,-5
1069,9,3,0,23,115,+72
1075,6,5,1,24.5,90.5,+25
1138,3,8,1,20.5,87.5,-75
1151,5,6,1,19.5,89.5,-34
1170,6,6,0,21.5,92,-3
1172,9,3,0,18.5,95,-18
1176,4,8,0,19.5,96,-13
1201,5,7,0,26,99,-17
1222,7,5,0,22.5,80.5,-21
1258,5,6,1,25.5,105,+61
1299,6,6,0,31.5,95,+12
1328,1,1,0,18.5,109,+22
1410,6,6,0,30,94.5,+40
1434,9,2,1,20.5,94,-8
