Team #,Wins,Losses,Ties,CS,OCS,PD
1022,6,2,0,16.5,64,+59
1066,4,4,0,16,67.5,-6
1067,2,6,0,15.5,63,-41
1088,3,5,0,15.5,58.5,-58
1106,2,6,0,12.5,64,-38
1114,7,1,0,15.5,68.5,+12
1118,2,5,1,13,60,-25
1119,3,5,0,14.5,63,+22
1122,3,4,1,12.5,61.5,-2
1141,4,3,1,19,61,-5
1142,4,4,0,17,60.5,+28
1147,4,4,0,19,71,+19
1194,6,2,0,19,70,+27
1257,3,5,0,18,67,-8
1276,3,5,0,19,65,-38
1288,3,3,2,19,59.5,-27
1305,1,7,0,12,55,-105
1358,3,5,0,17,61,-18
1366,6,2,0,17,70,+7
1534,6,2,0,16,69,+49
1535,7,1,0,17.5,73.5,+103
1578,5,2,1,16.5,65.5,+32
1600,3,5,0,15,57.5,+1
1601,3,5,0,11.5,60.5,+12
