Team #,Wins,Losses,Ties,CS,OCS,PD
1019,4,4,0,17.5,63,-3
1035,5,2,1,17,69,+36
1036,3,5,0,21,56.5,-36
1061,8,0,0,13,71.5,+73
1071,5,2,1,10.5,79,+2
1072,3,5,0,18,63,-13
1099,3,5,0,21,66,-16
1134,4,4,0,14,65,-9
1135,4,4,0,7.5,73,+13
1138,6,2,0,16,74.5,+43
1139,4,3,1,18,57.5,+19
1153,1,6,1,16.5,50,-60
1160,4,4,0,9,70.5,0
1164,1,7,0,19,43,-33
1243,6,1,1,15.5,70.5,+14
1259,5,2,1,16,68.5,+60
1260,2,6,0,16,58.5,-14
1385,1,6,1,11.5,58,-49
1432,3,5,0,20,62.5,-60
1434,6,1,1,17,72.5,+64
1446,3,3,2,16.5,64,+9
1447,2,6,0,16.5,56.5,-50
1456,6,2,0,15,72,+51
1468,2,6,0,22,51.5,-41
