Team #,Wins,Losses,Ties,CS,OCS,PD
1029,7,1,0,10,83.5,+65
1030,5,3,0,18,59,+8
1056,3,5,0,18.5,50.5,-31
1103,5,3,0,17,65.5,-8
1104,3,4,1,15.5,57,-7
1111,4,4,0,15.5,59.5,-15
1158,4,4,0,19,61.5,-15
1163,1,7,0,23,43,-82
1173,2,6,0,19,52,-48
1190,8,0,0,10,87.5,+81
1191,4,4,0,14.5,65.5,+4
1246,4,4,0,19,51.5,+28
1247,2,6,0,17,64,-4
1266,1,7,0,22.5,47.5,-61
1328,7,1,0,15,76.5,+42
1351,3,5,0,16.5,61.5,-4
1407,4,4,0,14.5,61.5,+1
1417,3,5,0,11,76.5,-33
1418,4,4,0,23,47,+7
1497,5,3,0,12,65,+9
1498,4,4,0,15,70.5,+17
1502,5,3,0,12,80,+25
1548,4,3,1,11.5,72,+17
1549,3,5,0,15,78,+4
