Team #,Wins,Losses,Ties,CS,OCS,PD
1001,2,5,1,15,61.5,-34
1002,3,5,0,9.5,66.5,-37
1048,2,6,0,14.5,65,-56
1060,8,0,0,11.5,75,+92
1084,4,3,1,17,71,-14
1113,3,3,2,18.5,67.5,+14
1146,4,4,0,15,59,+27
1200,6,2,0,17,71.5,+72
1201,5,2,1,17.5,62,+34
1211,5,3,0,16,67.5,-6
1215,3,5,0,17,65.5,-20
1253,3,4,1,15,58,+16
1315,2,5,1,21,56,0
1372,0,7,1,15,47,-65
1423,3,4,1,17,70,-12
1424,4,3,1,14,56.5,+16
1464,7,1,0,16.5,73,+78
1465,3,5,0,21.5,56.5,-12
1555,1,6,1,11,65,-133
1563,4,3,1,18.5,70.5,+1
1565,4,3,1,14,62.5,+1
1583,5,3,0,19,66.5,+37
1584,2,6,0,15,55.5,-44
1639,6,1,1,18,67,+45
