Team #,Wins,Losses,Ties,CS,OCS,PD
1053,6,2,0,12.5,74,+15
1069,6,2,0,16.5,67,+15
1075,5,3,0,20.5,56,+25
1076,7,1,0,16,71,+48
1157,6,2,0,12,78.5,+34
1161,3,5,0,15,64.5,+2
1186,4,4,0,20,59,-5
1209,6,2,0,18,61,+45
1227,4,3,1,15,60,-10
1228,3,5,0,19,54,-14
1236,2,6,0,13,60,-28
1299,5,2,1,19,64,+29
1300,4,3,1,16,68,+17
1329,2,6,0,15.5,62,-55
1338,4,3,1,12.5,63.5,+9
1355,6,2,0,17,79,+20
1356,3,3,2,15.5,64.5,+14
1363,2,6,0,11.5,56.5,-23
1398,2,5,1,19.5,60.5,-27
1437,3,4,1,18,57,-1
1461,4,4,0,11,75,+28
1472,4,4,0,19,69.5,-6
1473,1,7,0,13,61,-40
1591,0,8,0,19,50.5,-92
