Team #,Wins,Losses,Ties,CS,OCS,PD
1012,1,7,0,13.5,50,-48
1040,7,1,0,14.5,70.5,+56
1041,5,2,1,13.5,70.5,+27
1149,3,5,0,16,59,-18
1151,5,3,0,18.5,62,+6
1172,6,0,2,13.5,77.5,+37
1180,1,6,1,9,61.5,-23
1188,2,6,0,19.5,53,-16
1218,3,5,0,19.5,61,-4
1258,5,2,1,17,61,+30
1369,5,3,0,16,63,+3
1370,2,4,2,21.5,60.5,-25
1393,3,5,0,14,62.5,-6
1414,4,3,1,16,78.5,-12
1441,5,3,0,12,72,+25
1442,3,5,0,16.5,65.5,-9
1476,2,6,0,13,63.5,-50
1491,1,6,1,14.5,59,-69
1506,4,3,1,15.5,76,-12
1515,8,0,0,12.5,75.5,+72
1580,4,4,0,18,71,+13
1607,3,4,1,19.5,50.5,+16
1608,4,3,1,20,58,+25
1617,4,4,0,20.5,54.5,-18
