Team #,Wins,Losses,Ties,CS,OCS,PD
1037,1,7,0,13.5,49.5,-96
1048,3,4,1,16,61.5,-12
1049,5,3,0,13.5,73,+30
1062,6,1,1,16.5,72,+74
1139,7,1,0,11,72,+88
1140,6,2,0,15,82,+47
1148,4,4,0,20,51,0
1164,5,3,0,16.5,73.5,+27
1243,3,4,1,18,61.5,+1
1260,6,0,2,15.5,72.5,+34
1262,3,5,0,19,55.5,-9
1332,1,7,0,9,59,-40
1423,7,1,0,16,76,+96
1426,3,5,0,19.5,50,-52
1446,7,1,0,20,67.5,+54
1447,4,4,0,17,58.5,-17
1448,2,6,0,20,60.5,-60
1466,2,6,0,11.5,68.5,-41
1528,3,4,1,16.5,65,-4
1551,2,6,0,22,55.5,-19
1552,3,5,0,17,55.5,-29
1627,2,6,0,9,68,-72
