Team #,Wins,Losses,Ties,CS,OCS,PD
1063,7,1,0,12.5,82.5,+81
1064,6,2,0,15,75,+83
1124,4,4,0,10,67.5,-15
1128,4,4,0,15,63.5,+54
1130,1,7,0,14,62,-88
1188,4,3,1,22,61,+20
1189,4,4,0,21,49.5,+23
1196,5,3,0,20.5,54.5,+22
1197,2,6,0,21,64,-107
1302,7,0,1,16.5,71,+133
1303,4,3,1,17,65,+48
1330,1,7,0,20.5,42.5,-44
1343,5,3,0,13,76,+14
1450,3,5,0,15,71,-126
1452,3,5,0,21.5,57,-7
1453,5,3,0,18,62.5,+40
1478,4,4,0,13.5,64.5,-13
1479,3,5,0,11.5,71,-18
1518,0,8,0,21,46,-129
1519,0,8,0,18,41.5,-141
1554,7,0,1,10.5,80,+58
1787,7,1,0,5,80.5,+112
