Team #,Wins,Losses,Ties,CS,OCS,PD
1051,4,4,0,17.5,65.5,-5
1052,3,5,0,19,54.5,-61
1086,7,1,0,12,71,+97
1087,5,1,2,10.5,75,+45
1133,6,2,0,16,71.5,+31
1150,2,6,0,18,64,-7
1166,3,5,0,19,61,-18
1167,3,5,0,17.5,60.5,-53
1170,5,3,0,16,71.5,+22
1222,3,5,0,19,65,+7
1255,7,1,0,15,69.5,+63
1256,4,2,2,14.5,72,+10
1272,7,1,0,17,71.5,+52
1273,3,4,1,21,54.5,+12
1353,1,6,1,19,57,-11
1354,3,5,0,17,62,-15
1365,5,3,0,16,72,+7
1378,0,8,0,17,50.5,-116
1429,3,4,1,13,72.5,+6
1476,4,3,1,20.5,55,+3
1477,2,6,0,13,59.5,-33
1582,2,5,1,16,52,-31
1612,4,2,2,16.5,67.5,+23
1615,5,2,1,15.5,64,+6
1653,1,7,0,13,61.5,-58
1787,6,2,0,7.5,63.5,+24
