Team #,Wins,Losses,Ties,CS,OCS,PD
1019,5,3,0,11.5,76.5,+41
1071,8,0,0,12.5,78.5,+169
1072,5,3,0,15.5,72.5,+32
1099,5,3,0,16.5,62.5,+83
1100,2,6,0,19.5,57,-13
1138,8,0,0,13,73.5,+93
1244,6,2,0,15,77,+41
1245,4,4,0,19,70,-4
1287,2,5,1,12,63.5,-73
1383,2,6,0,20.5,60,-33
1384,0,8,0,16.5,57.5,-139
1456,6,2,0,16.5,65.5,+141
1468,4,4,0,24,54.5,-17
1470,4,4,0,20,54,+43
1508,1,6,1,13,57.5,-155
1546,3,4,1,14.5,53,-114
1547,0,7,1,17.5,53,-193
1581,4,4,0,17,62.5,+16
1599,3,5,0,18,63,-12
1789,6,2,0,8,68.5,+94
