Team #,Wins,Losses,Ties,CS,OCS,PD
1116,3,5,0,18.5,53.5,-17
1120,6,1,1,11,69.5,+28
1121,0,8,0,14.5,48,-87
1127,5,3,0,20.5,66,+32
1129,3,5,0,19.5,53,-52
1131,1,7,0,17.5,57.5,-71
1205,7,1,0,17,66,+36
1206,7,1,0,11.5,76,+57
1230,3,5,0,16,68,-1
1231,3,5,0,18,73,-46
1271,4,4,0,18.5,64,-1
1391,4,4,0,14.5,60,+26
1410,7,0,1,17.5,75,+73
1412,6,2,0,17,66,+57
1444,4,4,0,13.5,69.5,-2
1445,4,4,0,9,69.5,-8
1500,2,4,2,19,66.5,-10
1501,0,7,1,17.5,47,-44
1506,4,3,1,19,61.5,+41
1532,3,4,1,16.5,69,-22
1560,5,3,0,17.5,60.5,-8
1985,3,4,1,8.5,69,+19
