Team #,Wins,Losses,Ties,CS,OCS,PD
1031,4,4,0,19,60,+11
1032,5,3,0,16,67,+6
1111,6,2,0,10,84.5,+63
1159,5,3,0,18.5,61,+18
1190,7,1,0,16,70.5,+77
1191,7,0,1,11.5,74.5,+113
1229,1,6,1,18,63,-94
1266,5,2,1,17,69.5,+28
1318,1,7,0,23,38.5,-68
1350,2,6,0,11,64,-32
1357,2,5,1,18.5,59,-28
1358,5,3,0,17,66.5,+37
1359,2,6,0,21,49.5,-65
1428,3,5,0,17,62.5,+2
1439,2,6,0,22,52,-52
1440,3,5,0,14.5,73,-15
1449,1,7,0,24,46,-118
1498,7,1,0,15,79,+61
1499,5,3,0,18.5,59,+22
1502,7,1,0,10,82.5,+73
1503,4,4,0,12.5,67.5,-6
1550,3,5,0,13,67,-7
1594,0,8,0,17,45,-101
1787,7,1,0,4,75,+75
