Team #,Wins,Losses,Ties,CS,OCS,PD
1125,3,5,0,19,62,-3
1126,2,6,0,16.5,58,-50
1146,8,0,0,10.5,75,+83
1147,5,3,0,15,76.5,+16
1215,4,3,1,18.5,58,+39
1216,6,2,0,16.5,65,+47
1259,6,2,0,17.5,64,+42
1261,6,2,0,14.5,72,+43
1275,4,4,0,17.5,72.5,+1
1296,3,5,0,18,54.5,-15
1297,3,5,0,14.5,62,-68
1404,5,3,0,18,58,+30
1405,3,5,0,11,69,-31
1421,3,4,1,19,53,-10
1424,6,2,0,15.5,72.5,+23
1425,5,1,2,8,82,+73
1463,1,7,0,16,65.5,-53
1586,1,6,1,13.5,61.5,-57
1587,0,8,0,20,44,-91
1629,6,1,1,12.5,72.5,+35
1635,3,4,1,12.5,62,-12
1639,6,2,0,15,69,+32
1640,1,6,1,25,49,-38
1645,2,6,0,20,58.5,-36
