Team #,Wins,Losses,Ties,CS,OCS,PD
1069,5,3,0,17.5,60,+56
1070,4,4,0,15,65.5,-30
1075,7,0,1,12.5,73,+120
1078,5,2,1,19.5,59.5,+71
1093,3,5,0,16,64.5,-46
1155,2,6,0,14,62.5,-90
1157,6,2,0,15.5,68,+76
1158,4,4,0,16.5,67.5,+17
1276,5,3,0,13.5,65,+27
1277,4,4,0,16,66.5,+13
1315,5,3,0,16,72,+17
1338,5,3,0,19.5,66,+4
1339,1,6,1,16,59,-64
1355,6,2,0,18,69,+94
1356,6,1,1,18,64.5,+45
1363,3,5,0,16.5,61,+3
1436,0,8,0,21.5,52,-159
1437,6,2,0,17,65.5,+51
1438,3,4,1,19,58,+21
1484,2,6,0,14,63,-66
1504,4,3,1,16,70,-14
1505,4,4,0,9,70.5,-28
1611,1,7,0,14,58.5,-74
1787,2,6,0,13.5,55,-44
