Team #,Wins,Losses,Ties,CS,OCS,PD
1014,6,1,1,16.5,71.5,+113
1015,6,2,0,13,78.5,+95
1038,6,2,0,14,82,+55
1039,7,1,0,16.5,69,+100
1115,6,1,1,15.5,67,+43
1135,4,4,0,20,53.5,+4
1184,2,6,0,20,52.5,-35
1185,4,4,0,12,66.5,-4
1198,4,4,0,23.5,67,+34
1212,4,4,0,13,68,+14
1232,1,6,1,16,61,-45
1269,5,3,0,13.5,74,+25
1270,4,4,0,12.5,69.5,-43
1291,6,1,1,16.5,70.5,+134
1292,4,3,1,21,61,+5
1344,7,1,0,18.5,68.5,+70
1474,3,5,0,21.5,53.5,-85
1475,1,7,0,17,46,-100
1482,0,8,0,17,48.5,-90
1538,5,3,0,13.5,71,+77
1540,4,4,0,18,62.5,-53
1588,1,7,0,14.5,48,-147
1596,3,4,1,15.5,62,+22
1606,2,6,0,20.5,48.5,-35
1630,4,4,0,10.5,72,-56
1637,2,6,0,6,72,-98
