Team #,Wins,Losses,Ties,CS,OCS,PD
1053,5,2,1,16.5,71,+36
1055,2,6,0,16,63,-52
1076,6,2,0,22,65.5,+50
1077,5,3,0,17,66,+49
1092,1,6,1,15,60,-62
1161,5,3,0,17,75,+38
1186,6,1,1,16,67.5,+133
1187,4,4,0,17.5,69.5,+36
1209,8,0,0,13.5,71,+148
1210,3,5,0,17,63.5,-6
1278,2,6,0,19,52.5,-176
1364,5,2,1,18,65.5,+47
1374,1,6,1,12.5,59.5,-45
1417,4,4,0,20,66.5,+18
1461,6,2,0,20.5,69,+33
1462,4,4,0,15,63.5,+33
1485,1,7,0,18,51.5,-175
1487,4,4,0,14,65.5,+12
1541,4,3,1,13,66,-5
1542,1,7,0,14.5,51.5,-18
1619,2,6,0,13,60.5,-66
1621,4,4,0,17.5,64,-31
1644,6,1,1,16,64.5,+127
1655,4,3,1,16,62,-14
1656,1,7,0,13.5,63.5,-205
1787,6,2,0,8,66.5,+95
