Team #,Wins,Losses,Ties,CS,OCS,PD
1022,4,4,0,22,52,+30
1023,2,3,3,17.5,65.5,-12
1056,6,2,0,18,62,+36
1057,1,6,1,21,56,-43
1088,5,3,0,14.5,66,+24
1089,4,4,0,15.5,57,-2
1103,7,0,1,14,75,+52
1105,3,5,0,17.5,57.5,-50
1108,4,4,0,19.5,63,+13
1141,4,3,1,15.5,65,+1
1143,3,4,1,15,63.5,-8
1199,4,4,0,14,71,+48
1279,4,4,0,13,68,+18
1280,0,8,0,19.5,53.5,-151
1285,3,3,2,15,60,0
1286,3,5,0,16.5,63.5,-16
1362,3,4,1,12,72,+21
1514,1,7,0,19,55.5,-156
1600,6,2,0,11.5,75.5,+60
1601,7,1,0,12,72,+116
1636,4,4,0,15,64,-6
1985,5,3,0,14.5,70.5,+25
