Team #,Wins,Losses,Ties,CS,OCS,PD
1027,6,2,0,14,70.5,+40
1064,4,2,2,14.5,64.5,+11
1065,4,4,0,16,49.5,-1
1078,6,1,1,16,72.5,+31
1129,3,5,0,19.5,64.5,-10
1168,6,1,1,13.5,77.5,+39
1169,4,3,1,17,71,+22
1180,1,7,0,18,54,-56
1182,3,5,0,12,62,-55
1268,3,5,0,11.5,61.5,-51
1273,4,3,1,16,72,+31
1274,5,2,1,18,70.5,+6
1338,2,6,0,19.5,63.5,-55
1340,1,7,0,11,63.5,-55
1348,2,6,0,15,55.5,-48
1384,4,4,0,17.5,63,+47
1463,3,4,1,17,63.5,-16
1480,7,1,0,18.5,70.5,+50
1481,3,3,2,19,57,+31
1486,4,4,0,17.5,60.5,-5
1540,6,2,0,12.5,70,+38
1541,2,6,0,12,49,-29
1571,5,2,1,21,59.5,+40
1572,2,5,1,17.5,70.5,-5
