Team #,Wins,Losses,Ties,CS,OCS,PD
1006,7,1,0,18,69,+28
1007,6,1,1,12.5,69.5,+25
1128,5,3,0,15.5,65,+20
1143,4,4,0,18,68.5,+28
1150,5,2,1,16.5,68,+21
1151,7,1,0,9,78,+41
1155,3,5,0,19.5,60,-53
1216,3,4,1,17.5,66.5,-25
1247,0,7,1,17.5,49,-49
1279,2,6,0,14.5,63.5,-42
1280,4,4,0,12.5,61,-38
1381,3,5,0,19.5,63.5,-38
1405,4,4,0,13.5,66,+6
1406,3,5,0,19,62,-10
1511,2,6,0,13.5,59.5,-53
1523,5,3,0,15.5,68,+18
1524,7,1,0,15,71,+83
1543,4,3,1,21.5,54.5,+22
1544,1,7,0,19,54.5,-48
1581,2,5,1,12.5,64.5,-28
1595,6,2,0,14,68.5,+65
1596,5,3,0,15.5,65,+67
1608,3,5,0,20,56.5,+18
1609,2,6,0,14.5,64.5,-58
