Team #,Wins,Losses,Ties,CS,OCS,PD
1004,4,3,1,22,55,+9
1086,4,4,0,17.5,60,+25
1087,3,4,1,19,56.5,+4
1100,5,3,0,16,68.5,+17
1101,2,5,1,10.5,58,-32
1105,2,6,0,16,52.5,-23
1108,4,3,1,18,57,-7
1133,3,5,0,16.5,56,-27
1146,7,1,0,14.5,76.5,+61
1153,7,1,0,16.5,72.5,+70
1233,4,4,0,15.5,69,-21
1317,3,4,1,23.5,54.5,-35
1335,6,2,0,12,71,+64
1354,4,3,1,13,76,-1
1355,2,5,1,17,61.5,-29
1358,3,5,0,19,56,+14
1367,6,2,0,14.5,79.5,+28
1368,7,1,0,13,78.5,+73
1408,2,6,0,18,56,-36
1409,1,6,1,12,63.5,-92
1428,2,6,0,16.5,54.5,-71
1471,4,3,1,18.5,60.5,+42
1472,3,4,1,12.5,72.5,+4
1501,3,5,0,12.5,70.5,-37
