Team #,Wins,Losses,Ties,CS,OCS,PD
1107,0,7,1,16.5,52.5,-63
1114,3,3,2,15,72,-16
1158,5,1,2,16,63.5,+50
1210,7,1,0,16.5,67,+35
1250,3,5,0,18,55,-56
1254,3,3,2,13,62,+8
1324,3,5,0,21.5,60.5,-38
1325,2,6,0,12,63,-19
1330,7,1,0,12.5,77,+80
1331,4,3,1,20,56.5,+22
1378,3,5,0,15.5,59.5,-39
1413,5,3,0,17,60.5,+54
1414,4,4,0,13,67,+5
1448,2,5,1,20,56,-35
1449,4,4,0,15.5,68.5,-10
1505,6,1,1,15,77,+49
1506,7,1,0,12,67,+83
1535,5,3,0,15,67,+7
1559,1,7,0,18,62.5,-73
1610,4,4,0,16,62,-15
1636,2,5,1,18.5,58.5,-12
1637,2,5,1,12,65.5,-63
1638,4,4,0,17.5,65.5,+42
1639,4,4,0,18,70.5,+4
