Team #,Wins,Losses,Ties,CS,OCS,PD
1030,1,7,0,12.5,62.5,-104
1037,4,4,0,15.5,64,+12
1046,4,4,0,17,69.5,-3
1057,4,4,0,17.5,54.5,+25
1058,2,6,0,13,67.5,-26
1083,4,3,1,15.5,68.5,-32
1093,5,3,0,19,67,+40
1102,7,1,0,16,74.5,+69
1103,5,3,0,17,64.5,+18
1111,4,4,0,15.5,63,+21
1160,3,5,0,19,63,-38
1171,1,6,1,11,60.5,-34
1189,3,5,0,17.5,68.5,-26
1275,6,2,0,11.5,72,+14
1276,4,4,0,16,64.5,-13
1291,3,5,0,19.5,50.5,+17
1295,5,3,0,15,75,-8
1438,1,5,2,17,47,-16
1460,2,5,1,21,56,-30
1461,5,3,0,19,63,+5
1513,5,3,0,17.5,65,+47
1514,7,0,1,11.5,75,+58
1557,4,4,0,15.5,63.5,+6
1558,4,4,0,14.5,57,-2
