Team #,Wins,Losses,Ties,CS,OCS,PD
1009,5,3,0,15,64,+58
1010,3,5,0,18,57.5,-22
1015,3,5,0,17,65,-42
1026,5,3,0,16,64,+48
1035,5,3,0,18,67,+60
1036,7,1,0,15,72,+63
1123,7,1,0,13.5,65.5,+54
1124,4,4,0,15,67,+1
1148,3,5,0,15.5,64.5,-11
1178,2,6,0,16,59,-56
1220,4,4,0,19,64.5,-25
1242,1,6,1,14.5,53,-38
1259,5,3,0,18.5,60.5,-6
1260,4,4,0,15,65,-34
1282,4,4,0,17,68.5,+43
1283,4,4,0,19,64,-15
1287,2,6,0,17.5,61.5,-48
1443,7,1,0,13,71,+39
1444,2,5,1,12.5,67,-56
1446,2,6,0,18,60.5,-55
1529,4,4,0,16.5,62.5,-4
1568,6,2,0,16,63,+68
1569,4,4,0,17,65,+25
1656,2,6,0,11.5,64.5,-47
