Team #,Wins,Losses,Ties,CS,OCS,PD
1006,6,2,0,18,68.5,+108
1007,3,4,1,19.5,61.5,+39
1009,5,2,1,15.5,58.5,+117
1010,6,2,0,17,69.5,+83
1015,5,3,0,16.5,69,+60
1085,4,4,0,11,70,+17
1094,4,4,0,15.5,63.5,-4
1123,8,0,0,15,68,+97
1124,6,2,0,13,77,+48
1178,7,1,0,13.5,70.5,+93
1179,1,6,1,14.5,66.5,-34
1242,6,2,0,20,66,+84
1243,3,5,0,16.5,59,-8
1293,0,8,0,8.5,29,-148
1344,2,6,0,15,60,-98
1373,5,3,0,18,63,+41
1375,2,6,0,18,58,-183
1441,2,6,0,15.5,57.5,-66
1526,1,6,1,19.5,57.5,-92
1527,2,6,0,10,55,-40
1529,6,2,0,17,65.5,+48
1530,4,4,0,20,55,-39
1532,5,3,0,19.5,65,+32
1552,2,6,0,18,53,-36
1575,3,5,0,13.5,61.5,-61
1628,4,4,0,15,63.5,-15
1642,2,6,0,13,58,-80
1787,4,4,0,6,30,+33
