Team #,Wins,Losses,Ties,CS,OCS,PD
1020,3,5,0,22.5,59.5,-46
1023,6,2,0,18,71.5,+50
1024,2,6,0,21,60.5,-13
1195,8,0,0,18,71,+48
1196,5,1,2,14.5,68.5,+47
1210,6,1,1,14.5,67,+38
1211,4,3,1,20.5,65,+41
1250,4,3,1,16.5,70,+4
1251,0,7,1,13.5,57.5,-25
1305,3,4,1,10,59,+48
1310,6,2,0,13.5,68,+45
1363,3,5,0,17,53.5,-33
1364,2,5,1,12.5,64.5,-27
1366,3,5,0,12.5,71,-39
1389,5,2,1,17.5,64.5,+26
1390,4,3,1,18,63,+9
1455,0,8,0,14,49,-162
1507,7,1,0,14.5,73.5,+71
1508,2,5,1,17,61,-24
1551,2,6,0,13,65,-24
1585,4,4,0,18.5,66,-5
1631,3,4,1,15,59.5,-29
