Team #,Wins,Losses,Ties,CS,OCS,PD
1003,3,5,0,19.5,64.5,-20
1021,5,3,0,18.5,61,-19
1022,6,2,0,14.5,59.5,-71
1060,7,1,0,19,71.5,+77
1061,3,4,1,10,65,-207
1068,2,6,0,13,74.5,+38
1077,8,0,0,17,66,+31
1089,7,1,0,17,67.5,+1
1137,1,7,0,13.5,63,+40
1156,6,1,1,20,60,-99
1166,6,2,0,15,60,-91
1167,4,3,1,19.5,60.5,-17
1213,4,4,0,14,63,+68
1215,4,4,0,12.5,57.5,-109
1298,2,5,1,17,57.5,-175
1350,3,5,0,12,56,-141
1420,4,4,0,13.5,66.5,+27
1421,2,5,1,19.5,55.5,0
1453,2,6,0,11.5,70.5,+46
1593,2,6,0,23,58.5,+2
1606,2,6,0,20,46,-61
