Team #,Wins,Losses,Ties,CS,OCS,PD
1066,4,4,0,17.5,61,+19
1067,5,2,1,15.5,60.5,+66
1070,1,7,0,14.5,56.5,-53
1080,2,5,1,16.5,56,0
1145,3,5,0,14.5,67.5,-72
1168,7,1,0,16,70,+65
1169,8,0,0,15.5,65,-29
1239,3,5,0,13.5,75,+51
1273,5,2,1,16,63.5,+62
1274,6,2,0,14,76.5,-52
1342,4,3,1,13,69,+80
1348,5,1,2,13.5,67.5,+36
1384,6,2,0,18.5,68.5,-17
1385,3,3,2,15,57.5,-11
1464,3,4,1,18.5,60,+4
1465,3,5,0,21,64,+47
1481,3,3,2,20.5,58.5,-15
1563,3,5,0,15.5,67.5,+32
1572,4,1,3,21,62,+4
1574,3,5,0,13,61.5,-89
1598,1,7,0,21.5,55.5,-142
1607,1,7,0,13.5,59,-82
1613,2,6,0,12,60.5,-14
