Team #,Wins,Losses,Ties,CS,OCS,PD
1016,2,5,1,15,67.5,-37
1121,3,5,0,13,59,+1
1136,3,5,0,15,50.5,-21
1185,5,2,1,16,69,+37
1186,3,5,0,18.5,57.5,-37
1197,4,3,1,18.5,67,+23
1198,3,5,0,15.5,63,-65
1222,5,3,0,16.5,74,+3
1223,3,5,0,19.5,61,-30
1269,6,1,1,17,68.5,+76
1301,3,4,1,17.5,57,-40
1309,5,3,0,19.5,63.5,+61
1313,2,6,0,13,57.5,-75
1314,4,3,1,14,65,+91
1315,6,2,0,15.5,73,+66
1391,4,4,0,20.5,62.5,-26
1466,2,6,0,22.5,57.5,+11
1467,2,6,0,13,64,-23
1491,6,2,0,16,70,+94
1514,8,0,0,14.5,70,+82
1515,7,1,0,13.5,76,+78
1594,0,8,0,14.5,54.5,-183
1652,2,6,0,17.5,63.5,-43
1787,5,3,0,8,65,-43
