Team #,Wins,Losses,Ties,CS,OCS,PD
1030,5,3,0,16,69,-14
1057,6,1,1,18.5,66.5,+41
1058,6,2,0,18.5,66.5,+44
1069,4,4,0,15.5,60,+7
1090,4,4,0,22.5,67.5,-19
1095,4,4,0,18,62,+2
1096,1,7,0,14,53.5,-34
1103,8,0,0,14,77,+129
1111,6,2,0,18,73.5,+43
1112,4,4,0,15,59.5,-44
1130,5,3,0,16,65,+3
1131,3,5,0,11,58.5,+10
1160,5,3,0,19,67,+49
1161,2,4,2,12,58.5,-25
1290,2,6,0,11.5,56.5,-69
1295,6,2,0,15.5,63.5,+46
1296,3,4,1,17.5,72.5,-4
1308,2,6,0,15.5,58,-42
1327,4,4,0,16,68.5,+57
1404,3,4,1,16,60,-9
1427,1,7,0,14.5,57.5,-71
1460,5,3,0,18,73,+15
1525,2,5,1,11,63,-28
1653,2,6,0,20.5,59.5,-87
