Team #,Wins,Losses,Ties,CS,OCS,PD
1047,4,4,0,12,61,-8
1048,3,5,0,18,66.5,+14
1081,5,3,0,19,67.5,+2
1082,5,3,0,16,68,+28
1086,7,1,0,17,74,+52
1088,3,5,0,11,65.5,+1
1173,3,5,0,22,58,-20
1174,4,4,0,17,69.5,-20
1189,4,3,1,17,61.5,+31
1190,2,6,0,14,55.5,-72
1191,4,2,2,19,67,+47
1192,3,5,0,19,69,-16
1277,5,3,0,16.5,69,+15
1316,2,6,0,15,54,-61
1322,0,8,0,11.5,52.5,-180
1335,6,2,0,13.5,73,+55
1336,4,4,0,17,64,-4
1370,6,2,0,16.5,72.5,+19
1399,3,4,1,18,61.5,+37
1400,1,7,0,16,56.5,-59
1461,6,2,0,17.5,68.5,+31
1462,5,3,0,14,63,+81
1548,2,6,0,9.5,58.5,-44
1576,4,4,0,19,62.5,+2
1583,7,1,0,16,65.5,+76
1650,4,4,0,15,60,-7
