Team #,Wins,Losses,Ties,CS,OCS,PD
1034,4,4,0,12,65,+24
1180,4,3,1,21.5,58,+53
1181,2,6,0,13,52,-72
1216,7,1,0,14,83.5,+61
1231,3,4,1,19,54,-3
1232,4,4,0,14.5,67,0
1235,3,5,0,22.5,56,-8
1236,2,5,1,14.5,59.5,-31
1247,6,2,0,18,58,+63
1248,4,4,0,16,71.5,-21
1258,1,7,0,13,48,-87
1262,3,5,0,20.5,51.5,+14
1263,2,6,0,14.5,64.5,-64
1345,4,4,0,14,66.5,-81
1381,7,0,1,14,83.5,+52
1382,5,3,0,15.5,71.5,-5
1423,2,6,0,11.5,59,-106
1424,1,7,0,7.5,52,-102
1496,2,6,0,22,62.5,-72
1544,5,3,0,16,74.5,+34
1545,4,4,0,12,71,+64
1595,8,0,0,21,63.5,+64
1608,5,3,0,18.5,64,+77
