Team #,Wins,Losses,Ties,CS,OCS,PD
1115,2,4,2,20.5,51.5,+1
1117,4,3,1,12,75,+19
1204,2,5,1,22,50.5,-19
1324,5,3,0,21,50,+14
1325,1,7,0,18,57.5,-49
1333,7,1,0,12,80,+35
1334,5,3,0,16.5,67,+33
1380,3,4,1,17.5,55.5,-7
1414,6,2,0,14,64.5,+98
1448,7,1,0,17,67,+104
1449,5,2,1,14,67.5,+16
1495,0,8,0,17,49.5,-91
1559,7,1,0,8,77.5,+59
1620,3,5,0,11.5,73.5,0
1622,1,7,0,16.5,64,-53
1632,3,5,0,18,60,+2
1633,3,5,0,22,57,-76
1636,5,2,1,11.5,77,+23
1637,4,2,2,16.5,69.5,+23
1639,6,1,1,13,71.5,+29
1654,0,8,0,21.5,46,-193
1787,4,4,0,12,76.5,+32
