Team #,Wins,Losses,Ties,CS,OCS,PD
1011,4,3,1,19,67.5,+18
1026,7,0,1,12,77.5,+94
1029,7,1,0,15,70.5,+20
1044,2,6,0,16,55.5,-68
1045,2,6,0,20,48,-60
1205,0,8,0,16.5,51.5,-206
1220,4,4,0,17.5,64,+58
1221,6,2,0,13,68,+78
1244,4,4,0,7.5,66,+82
1245,2,6,0,19.5,63,-6
1259,7,1,0,17,68.5,+60
1268,4,3,1,18.5,52,-10
1284,3,4,1,15.5,70,+52
1287,5,3,0,17,69,+16
1288,3,4,1,14.5,70.5,+9
1362,1,7,0,15,53,-152
1396,3,5,0,19,60,-7
1443,6,2,0,13,68.5,+79
1444,7,1,0,15.5,77,+28
1521,2,5,1,23,60,-18
1522,4,4,0,15.5,60,-13
1531,0,8,0,19,57.5,-109
1570,3,4,1,19,64.5,-3
1787,6,1,1,6.5,74,+58
