Team #,Wins,Losses,Ties,CS,OCS,PD
1017,7,4,1,20.5,76,-48
1047,3,8,1,26.5,99,+27
1069,3,9,0,24,87,-83
1080,7,5,0,19,91,-43
1102,4,8,0,30,97,+15
1107,5,6,1,26,94,-9
1137,8,3,1,24.5,90.5,+2
1166,8,4,0,24.5,105,+46
1172,8,4,0,21,102,+49
1194,5,4,3,26.5,102,+12
1206,6,6,0,20.5,90.5,-12
1212,9,3,0,28,101,+8
1232,4,7,1,26.5,106,+70
1254,8,4,0,19,94,-23
1293,5,7,0,25,105,+19
1297,3,9,0,25,86,-21
1320,6,5,1,15.5,96.5,-72
1334,5,7,0,23.5,101,+6
1432,9,3,0,27,87.5,+17
1444,6,6,0,29.5,99,+27
1485,8,4,0,23,96.5,+13
1497,2,7,3,27,108,+43
1538,6,4,2,20.5,90,-68
