Team #,Wins,Losses,Ties,CS,OCS,PD
1003,6,5,1,21,106,+34
1016,9,2,1,25,112,+50
1061,5,7,0,21,92.5,+3
1109,6,6,0,27.5,92,-6
1111,3,8,1,26.5,76,-116
1148,9,2,1,25.5,86,-33
1171,8,4,0,29,97.5,+82
1233,6,6,0,25,101,+29
1250,5,6,1,30,97,+22
1252,7,3,2,22.5,91,-6
1273,5,7,0,21,106,+68
1298,4,8,0,17,97.5,-40
1354,7,5,0,27.5,85.5,-94
1448,5,6,1,23,83,-44
1462,8,3,1,16.5,102,+7
1486,5,6,1,28,94,-20
1488,6,5,1,29.5,94.5,+62
1498,6,6,0,20.5,86.5,-24
1512,6,5,1,27,84,+41
1532,8,3,1,23,101,-7
1564,7,5,0,21.5,111,+14
1616,4,8,0,24,109,+35
