Team #,Wins,Losses,Ties,CS,OCS,PD
1003,6,2,0,20,62,+21
1007,4,4,0,11,64.5,+23
1064,2,6,0,12,61.5,-61
1120,1,6,1,20.5,56,-25
1121,0,8,0,15,50,-91
1230,4,4,0,19,63.5,-39
1250,4,4,0,17.5,74,+25
1251,5,3,0,19,53,-7
1300,5,3,0,16,66.5,+16
1301,4,3,1,14,75,+1
1318,3,4,1,16,51.5,+1
1322,3,5,0,18,65.5,-16
1323,3,4,1,15.5,67,+1
1391,3,5,0,16,65,-6
1522,3,5,0,17.5,62.5,+1
1547,3,5,0,16,56,+2
1564,7,1,0,15,71.5,+66
1565,5,3,0,13.5,74.5,+17
1616,4,4,0,14,66.5,+11
1617,7,1,0,14.5,76,+54
1629,5,2,1,11.5,67.5,+41
1630,3,5,0,18.5,63.5,-15
1644,4,4,0,19.5,57,-29
1645,5,2,1,14.5,66,+9
