Team #,Wins,Losses,Ties,CS,OCS,PD
1047,6,2,0,17,67,+31
1048,4,4,0,14,66,-31
1092,3,5,0,16,57.5,-8
1173,4,4,0,16,58,+17
1174,2,6,0,16.5,61,-32
1210,2,6,0,12,57.5,-16
1215,3,4,1,23,57.5,-2
1221,2,6,0,13.5,70.5,-45
1235,4,4,0,19.5,58.5,+2
1283,2,6,0,11,57,-49
1293,7,0,1,13.5,76,+68
1374,1,7,0,16,58.5,-54
1444,8,0,0,13.5,78,+48
1445,2,6,0,18.5,63,-20
1462,5,2,1,17,73,-5
1463,4,4,0,12,61,-8
1479,5,3,0,19.5,59,+38
1480,5,3,0,18.5,65.5,+22
1485,6,2,0,20,69.5,+29
1486,5,2,1,14.5,68.5,+27
1505,3,5,0,15.5,63,+9
1517,5,3,0,18,69.5,+8
1518,2,6,0,14,59.5,-33
1602,4,4,0,15,61.5,+4
