Team #,Wins,Losses,Ties,CS,OCS,PD
1037,2,6,0,15,67.5,-84
1069,1,6,1,12.5,67.5,-31
1070,5,2,1,8.5,74.5,-18
1107,6,2,0,16,74.5,-8
1145,3,5,0,20,64.5,+3
1166,7,1,0,13.5,68,+83
1167,5,3,0,18,72.5,+35
1206,7,1,0,15,66.5,+86
1207,5,3,0,16.5,62.5,+9
1225,0,8,0,15.5,48.5,-59
1291,3,5,0,16,60.5,-57
1292,2,5,1,17,57.5,-31
1331,3,5,0,21.5,54.5,+2
1338,3,5,0,13.5,61.5,-23
1363,5,3,0,17,65,+22
1366,4,4,0,16.5,58.5,+20
1367,3,5,0,13,65,-45
1538,6,2,0,14.5,73.5,+24
1539,5,3,0,12,70.5,+5
1554,4,4,0,18.5,59.5,+15
1555,3,5,0,20.5,57.5,+22
1572,3,5,0,18.5,57,-34
1575,2,5,1,17,58.5,+8
1642,7,1,0,18,70.5,+56
