Team #,Wins,Losses,Ties,CS,OCS,PD
1023,4,4,0,20,63,-10
1024,3,5,0,12.5,55.5,-14
1080,5,3,0,16,65,-3
1081,4,4,0,14.5,65.5,-7
1094,4,4,0,19,62,+12
1095,2,5,1,18,53,-30
1114,1,7,0,13.5,58,-68
1127,3,4,1,15.5,61.5,+6
1137,6,2,0,13.5,78,+47
1159,2,6,0,23.5,50.5,-35
1160,5,3,0,14.5,67,+39
1171,7,1,0,15.5,75,+72
1172,5,3,0,17,69,+26
1201,3,5,0,16,68,+35
1212,6,2,0,18,70.5,+27
1227,4,4,0,18,62.5,-14
1228,3,5,0,12,65,-31
1254,7,1,0,11,80,+31
1357,4,3,1,9,76.5,+44
1358,5,3,0,15,70,+4
1440,4,4,0,15,64,+4
1558,1,7,0,19.5,51,-100
1622,3,4,1,15.5,51,-1
1623,3,5,0,22,54.5,-34
