Team #,Wins,Losses,Ties,CS,OCS,PD
1020,7,1,0,13.5,79.5,+49
1021,4,4,0,18,65,+1
1060,5,3,0,16,66.5,-10
1061,5,3,0,20,70,+36
1135,5,3,0,14,70,+74
1136,4,4,0,11,59.5,-1
1140,4,4,0,17.5,64.5,+59
1141,3,5,0,14,62.5,-46
1180,8,0,0,15,80.5,+56
1195,4,4,0,21,58,+40
1197,4,4,0,15,55.5,+27
1273,7,1,0,14.5,66,+10
1313,4,4,0,23,56.5,-51
1403,2,6,0,17,68.5,-48
1411,2,6,0,13.5,47,-11
1431,2,6,0,10.5,66.5,-94
1439,2,6,0,20,65,+70
1450,6,2,0,20,59.5,+8
1452,4,4,0,15.5,53,-95
1461,1,6,1,7.5,53,-170
1494,0,7,1,23,56,-20
1525,4,4,0,17,80.5,+25
1526,6,2,0,13.5,51.5,-29
