Team #,Wins,Losses,Ties,CS,OCS,PD
1069,5,3,0,13,70.5,+61
1149,4,3,1,22.5,60.5,-6
1150,4,4,0,20.5,57,+55
1166,4,4,0,21,57,+50
1264,8,0,0,12.5,82.5,+67
1265,5,2,1,18.5,60,+16
1327,5,2,1,18.5,81,+29
1328,3,5,0,15,65.5,-58
1364,6,2,0,12,82.5,+45
1377,3,5,0,11,65,-64
1380,4,4,0,21.5,59,0
1393,2,6,0,16.5,62,-28
1417,6,2,0,13.5,79,+35
1457,4,4,0,13.5,58.5,+28
1458,4,4,0,10,72.5,-10
1533,4,3,1,16.5,64.5,+23
1534,2,6,0,17,53.5,+8
1590,6,2,0,16.5,64.5,+21
1591,4,4,0,15,64.5,+27
1621,0,8,0,16,40.5,-161
1649,0,8,0,18,49,-155
1656,4,4,0,16.5,74.5,-2
1660,2,6,0,23,40.5,-46
1787,5,3,0,6,72,+65
