Team #,Wins,Losses,Ties,CS,OCS,PD
1003,7,0,1,21.5,67.5,-21
1004,3,5,0,12,62.5,+63
1007,6,2,0,11,63.5,+9
1008,4,4,0,17.5,69,+57
1064,7,1,0,16.5,66.5,+11
1065,4,4,0,20.5,65,-6
1124,3,5,0,15.5,58.5,-69
1178,1,6,1,10.5,63.5,+62
1187,4,4,0,18.5,78,+44
1250,6,1,1,16.5,66.5,+87
1318,6,2,0,16.5,70.5,+65
1323,6,2,0,17.5,61,+6
1325,3,3,2,17,66,-63
1401,2,5,1,14.5,52,-56
1413,2,6,0,17,62.5,-62
1421,2,6,0,13.5,58,-45
1429,1,7,0,19.5,60,+8
1491,4,4,0,15,61.5,+23
1508,5,3,0,15.5,63,-35
1509,2,6,0,17.5,61.5,-105
1542,3,5,0,20.5,62,-21
1546,4,4,0,15,69,+47
1565,7,1,0,16.5,66.5,+54
1566,6,1,1,13,63,-30
1611,4,4,0,11.5,53.5,-77
1631,4,4,0,15,57,-186
