Team #,Wins,Losses,Ties,CS,OCS,PD
1023,6,2,0,21.5,57,-21
1025,2,5,1,15.5,66,+74
1051,6,2,0,19,53,-98
1066,1,7,0,11.5,69.5,+16
1105,4,4,0,18.5,63.5,+1
1106,3,4,1,22,55,-24
1129,3,5,0,12,80.5,+81
1160,8,0,0,14.5,66.5,-33
1254,7,1,0,18,43,-191
1295,4,4,0,13,67,-30
1296,0,8,0,19,56,-37
1329,3,5,0,20,62.5,+10
1330,2,6,0,17,60.5,-92
1384,4,4,0,12,66.5,-78
1388,2,6,0,19.5,57.5,-44
1475,3,5,0,15,76.5,+85
1476,3,4,1,21.5,52.5,-27
1487,7,1,0,13.5,58,-33
1503,4,4,0,13.5,64.5,-106
1504,2,6,0,17.5,71,+43
1530,2,6,0,16.5,65,+93
