Team #,Wins,Losses,Ties,CS,OCS,PD
1024,6,2,0,16,67.5,+40
1044,1,7,0,14,56,-59
1095,5,3,0,21,63.5,+28
1097,0,8,0,16,50.5,-126
1127,6,2,0,17,64,+48
1128,4,4,0,21,66.5,+25
1138,4,4,0,14,69,+58
1156,2,6,0,17,56,-72
1161,5,3,0,20.5,75.5,+9
1162,3,5,0,18,64,+21
1171,8,0,0,17,68,+96
1172,7,1,0,15,68,+94
1202,5,2,1,17.5,76,+17
1203,3,5,0,16,62,-3
1213,4,3,1,19.5,60,+8
1214,2,6,0,14,53.5,-41
1229,2,6,0,19,66,-64
1357,7,1,0,17,60,+71
1358,6,2,0,17,74,+48
1496,4,4,0,13,71,+5
1506,3,5,0,14,61,-37
1535,3,5,0,12,64,-14
1551,4,4,0,12,67,-54
1620,3,5,0,16,68,-20
1632,0,8,0,16,47.5,-166
1985,6,2,0,6.5,65.5,+88
