Team #,Wins,Losses,Ties,CS,OCS,PD
1030,4,4,0,20.5,58,+23
1057,3,5,0,18,51,-15
1076,3,5,0,17,51.5,-12
1077,4,3,1,15,55,-34
1078,4,4,0,15.5,80.5,-31
1207,6,1,1,16,72.5,+89
1208,6,2,0,13,76.5,+66
1291,4,4,0,20,60,+6
1292,4,3,1,18.5,67,+25
1308,3,4,1,16.5,68.5,-12
1366,7,0,1,16,71.5,+56
1367,5,3,0,11,72,-16
1434,0,6,0,19,66.5,-21
1453,3,4,1,19,51,-100
1454,1,7,0,14.5,62,-52
1510,1,7,0,16.5,58.5,-46
1545,1,7,0,17.5,40,-44
1584,2,6,0,21,56,+57
1642,4,4,0,12.5,73.5,+35
1643,6,1,1,11.5,64.5,+45
1652,4,3,1,15.5,70.5,+9
1653,4,4,0,12.5,63,+32
