Team #,Wins,Losses,Ties,CS,OCS,PD
1034,2,8,2,26,90,-22
1045,7,5,0,23,97.5,+52
1050,1,1,0,26.5,111,+92
1055,6,4,2,24.5,97,+18
1073,7,5,0,29,92,+48
1093,7,5,0,22,99,+26
1113,8,2,2,21,98.5,+42
1116,4,8,0,27,89,-28
1169,7,5,0,29,96.5,-33
1188,3,8,1,19,91,-49
1191,4,7,1,23,96,-20
1200,3,7,2,23.5,98.5,-58
1241,8,4,0,22,95,+73
1246,7,4,1,20.5,98,+15
1311,6,6,0,19.5,96,+3
1314,4,7,1,25,92,-25
1341,5,6,1,21,99.5,-32
1352,6,5,1,22.5,99.5,+9
1425,7,3,2,26,91.5,-31
1440,4,7,1,27,91,-43
1512,4,8,0,25,85,-55
1578,8,4,0,30,93.5,-40
