Team #,Wins,Losses,Ties,CS,OCS,PD
1035,9,2,1,26,104,+76
1056,8,4,0,26.5,106,+46
1109,6,6,0,29,96.5,+16
1117,3,7,2,22.5,94.5,-53
1178,6,6,0,28.5,100,-12
1183,6,5,1,26.5,97,-29
1219,6,5,1,23,97.5,+9
1225,3,7,2,24,96,-31
1231,4,7,1,22.5,90,-23
1240,9,3,0,23.5,105,+18
1250,7,5,0,22,92.5,-11
1285,5,7,0,25,93.5,-82
1305,2,9,1,22,97.5,+13
1339,7,4,1,20.5,91.5,-32
1401,3,9,0,24.5,88,+26
1439,7,5,0,25,91.5,+23
1479,8,4,0,21,93.5,+47
1490,6,6,0,23,96.5,-63
1519,2,9,1,22.5,83,-92
1529,4,8,0,17.5,99,+48
1592,7,5,0,26,103,+59
1596,9,2,1,24.5,90.5,-47
1637,5,7,0,27,95,+29
