Team #,Wins,Losses,Ties,CS,OCS,PD
1017,3,5,0,11,62,-8
1116,7,1,0,15.5,71,+49
1117,7,1,0,13.5,79.5,+40
1129,1,7,0,16,52.5,-83
1178,6,2,0,16,71.5,+41
1179,2,5,1,18.5,52.5,-20
1222,3,5,0,12,62,-13
1250,6,2,0,15,77,+77
1251,3,4,1,20.5,63,+10
1265,2,6,0,16,56.5,-32
1266,3,5,0,19,59.5,-15
1290,1,7,0,12,64,-81
1314,5,2,1,13,70.5,+26
1368,5,3,0,16.5,61,+49
1369,4,4,0,17.5,65,-6
1398,4,4,0,18.5,60.5,-4
1459,5,3,0,19,66.5,-11
1460,3,4,1,14,59.5,-14
1464,3,4,1,17.5,57.5,-9
1535,4,4,0,23.5,59.5,+20
1536,4,4,0,18,61,-4
1654,5,2,1,12,75.5,+1
1672,2,5,1,13,63,+2
1684,4,3,1,16.5,65.5,-15
