Team #,Wins,Losses,Ties,CS,OCS,PD
1030,2,6,0,15.5,56.5,-24
1050,5,1,2,18,71.5,+47
1051,5,3,0,14.5,65,0
1066,3,5,0,17.5,58.5,-24
1073,4,3,1,17.5,69.5,+34
1074,5,3,0,15,67,+16
1106,4,4,0,11.5,63,+6
1149,3,4,1,20,59.5,-21
1188,6,2,0,14.5,70.5,+29
1191,5,3,0,19,65,0
1244,2,5,1,18.5,59.5,-28
1245,2,6,0,21,55.5,-34
1261,3,5,0,14,61.5,-33
1361,4,3,1,18,63.5,-11
1362,5,3,0,14.5,70.5,+16
1387,4,3,1,17.5,69,+16
1471,4,4,0,12,64,+7
1479,4,3,1,18.5,62,+28
1480,7,1,0,11,77,+34
1530,2,6,0,14.5,54.5,-82
1593,5,3,0,17,67.5,+35
1618,3,5,0,16,60.5,-11
1640,3,5,0,15,61.5,-20
1641,2,6,0,13.5,63.5,+20
