Team #,Wins,Losses,Ties,CS,OCS,PD
1043,2,5,1,18.5,54,-23
1045,7,1,0,15,71.5,+88
1047,6,1,1,14.5,69,+69
1068,4,4,0,16.5,68,+6
1069,3,4,1,17.5,57.5,-33
1115,5,3,0,17,72,+40
1123,6,2,0,15,75,+35
1124,3,5,0,18,60,-2
1183,6,1,1,20.5,69,+46
1185,7,1,0,15,73.5,+62
1196,6,2,0,15,73.5,+30
1197,3,5,0,22.5,64.5,-67
1271,3,5,0,14,67,-6
1292,2,5,1,12,56.5,-33
1323,3,5,0,11.5,59.5,+13
1445,5,2,1,16,64,+20
1446,2,5,1,12,59.5,-85
1448,2,5,1,14,61.5,-40
1474,5,3,0,21,64,+17
1514,3,5,0,19.5,61.5,-8
1531,3,5,0,16,59,-9
1558,3,5,0,18.5,60,-12
1559,2,6,0,13.5,62.5,-45
1593,5,2,1,15.5,64,+54
1609,3,4,1,12.5,60,+3
1639,0,8,0,15,58,-101
1681,4,4,0,17.5,66.5,+12
1803,4,4,0,14.5,61,-31
